pclass,survived,sex,age,sibsp,parch,fare,fare_per_person,fare_log,family_size,is_alone,embarked_Q,embarked_S,title_Miss,title_Mr,title_Mrs,title_Rare,deck_B,deck_C,deck_D,deck_E,deck_F,deck_G,deck_T,deck_Unknown
1,1,1,-0.01984391297515365,0,0,211.3375,52.834375,2.2976745737953035,-0.5583460543187373,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0
1,1,0,-2.1090548047439386,1,2,151.55,25.258333333333336,1.1534427587033005,1.3367489805210908,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,1,-2.028464483839589,1,2,151.55,25.258333333333336,1.1534427587033005,1.3367489805210908,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0.05454944150130691,1,2,151.55,25.258333333333336,1.1534427587033005,1.3367489805210908,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,1,-0.3174173308809959,1,2,151.55,25.258333333333336,1.1534427587033005,1.3367489805210908,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,1,0,1.3936298220775971,0,0,26.55,26.55,1.2299754503854137,-0.5583460543187373,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,2.5095301392245055,1,0,77.9583,25.986099999999997,1.1970147727513816,0.07335229062787217,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0.724089631789452,0,0,61.3792,61.3792,2.5324720453209517,-0.5583460543187373,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,1.7655965944599,2,0,51.4792,25.7396,1.182389616162702,0.7050506355744817,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
1,0,0,3.10467697503619,0,0,49.5042,49.5042,2.195901632085621,-0.5583460543187373,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,1.3192364676011366,1,0,227.525,45.505,2.064418801315879,0.07335229062787217,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
1,1,1,-0.8381708122162198,1,0,227.525,45.505,2.064418801315879,0.07335229062787217,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
1,1,1,-0.39181068535745645,0,0,69.3,34.65,1.6407708815144924,-0.5583460543187373,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,-0.24302397640453532,0,0,78.85,26.28333333333333,1.214473364278271,-0.5583460543187373,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,0,3.774217165324335,0,0,30.0,30.0,1.418018903932845,-0.5583460543187373,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1,0,0,0.9100730179806034,0,0,25.925,25.925,1.193402123160057,-0.5583460543187373,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
1,0,0,-0.39181068535745645,0,1,247.5208,82.50693333333334,2.9973786953464567,0.07335229062787217,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,1.5424165310305182,0,1,247.5208,82.50693333333334,2.9973786953464567,0.07335229062787217,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0.20333615045422804,0,0,76.2917,38.14585,1.7898629229774965,-0.5583460543187373,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0.5009095683600703,0,0,75.2417,37.62085,1.768343289639139,-0.5583460543187373,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,0,0.5753029228365308,1,1,52.5542,26.2771,1.2141091934288955,0.7050506355744817,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
1,1,1,1.3192364676011366,1,1,52.5542,26.2771,1.2141091934288955,0.7050506355744817,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
1,1,0,-0.24302397640453532,0,0,30.0,30.0,1.418018903932845,-0.5583460543187373,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,1,1,0.9472696952188336,0,0,227.525,45.505,2.064418801315879,-0.5583460543187373,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,1,-0.01984391297515365,0,0,221.7792,55.4448,2.3731423376885927,-0.5583460543187373,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,-0.3174173308809959,0,0,26.0,26.0,1.1978354936481466,-0.5583460543187373,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,0,-0.3174173308809959,1,0,91.0792,45.5396,2.0656041539849146,0.07335229062787217,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1,1,1,-0.7637774577397592,1,0,91.0792,45.5396,2.0656041539849146,0.07335229062787217,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
1,1,1,0.4265162138836097,0,0,135.6333,33.908325,1.6072632284397006,-0.5583460543187373,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,0,-0.09423726745161422,0,0,26.55,26.55,1.2299754503854137,-0.5583460543187373,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,1.1704497586482154,0,0,35.5,35.5,1.6783256699764015,-0.5583460543187373,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
1,1,0,0.7984829862659125,0,0,31.0,31.0,1.4686198416060814,-0.5583460543187373,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1,0.05454944150130691,0,0,164.8667,41.216675,1.910227759484658,-0.5583460543187373,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,1,1,2.1375633668422025,0,0,26.55,26.55,1.2299754503854137,-0.5583460543187373,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1,0,0,0.9472696952188336,0,0,26.55,26.55,1.2299754503854137,-0.5583460543187373,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
